category,ageAllTotal,ageAllFemale,ageAllMale,age29minusTotal,age29minusFemale,age29minusMale,age30_49Total,age30_49Female,age30_49Male,age50plusTotal,age50plusFemale,age50plusMale
total,6965,6293,7500,5279,5098,5459,7387,6800,7836,7845,6875,8713
managers,9929,8515,10690,6415,5660,7004,9857,8783,10454,11216,9402,11905
professionals,8821,8209,9334,6588,6626,6540,8995,8485,9426,10416,9899,10841
techniciansAndAssociateProfessionals,7143,6717,7602,5592,5493,5718,7354,7000,7656,7945,7429,8537
clericalSupportWorkers,6024,6136,5884,5090,5121,5048,6065,6211,5845,6528,6654,6305
serviceAndSalesWorkers,4905,4767,5331,4528,4481,4622,5037,4864,5524,5313,4979,6381
skilledAgriculturalForestryAndFisheryWorkers,5190,4643,5271,4675,NaN,4798,5510,NaN,5569,5965,NaN,5965
craftAndRelatedTradesWorkers,6004,4833,6092,5198,4385,5283,6137,5128,6190,6634,5139,6717
plantMachineOperatorsAndAssemblers,5840,4898,5956,5064,4333,5134,5860,4802,5965,6140,5248,6246
elementaryOccupations,5034,4406,5523,4703,4434,4836,5059,4341,5527,5287,4475,6018
