category,ageAllTotal,ageAllFemale,ageAllMale,age29minusTotal,age29minusFemale,age29minusMale,age30_49Total,age30_49Female,age30_49Male,age50plusTotal,age50plusFemale,age50plusMale
total,6591,6329,6770,5094,5001,5158,6826,6659,6953,7511,7036,7906
managers,9740,8253,10577,5911,5437,6499,9400,8387,9940,11491,9264,12115
professionals,8637,8310,8967,6200,6328,6088,8636,8354,8915,10488,9649,11115
techniciansAndAssociateProfessionals,7018,6768,7308,5521,5414,5714,7141,6982,7305,7937,7574,8299
clericalSupportWorkers,6003,6026,5923,4802,4800,4872,6061,6096,5915,6900,6848,7018
serviceAndSalesWorkers,4797,4565,5003,4379,4203,4586,4822,4560,5051,5253,5018,5765
skilledAgriculturalForestryAndFisheryWorkers,5474,5415,5509,5042,NaN,5042,5474,NaN,5474,6663,NaN,6663
craftAndRelatedTradesWorkers,5836,5081,5900,5153,4400,5202,5906,5158,5980,6352,5345,6408
plantMachineOperatorsAndAssemblers,5488,4541,5579,4813,4242,4848,5422,4539,5494,6031,4640,6187
elementaryOccupations,5000,4273,5397,4540,3981,4690,4973,4212,5390,5500,4538,5970
