category,ageAllTotal,ageAllFemale,ageAllMale,age29minusTotal,age29minusFemale,age29minusMale,age30_49Total,age30_49Female,age30_49Male,age50plusTotal,age50plusFemale,age50plusMale
total,6274,5687,6559,5138,4967,5238,6477,5940,6718,6914,6172,7332
managers,9196,7627,9528,6266,5942,6559,8884,7568,9167,9846,8397,10286
professionals,8311,7729,8890,6544,6525,6589,8416,7998,8745,9650,8989,10436
techniciansAndAssociateProfessionals,6932,5992,7415,5361,5064,5800,7104,6321,7400,7849,6801,8309
clericalSupportWorkers,5871,5776,6032,4955,4992,4914,6014,5886,6245,6516,6371,6911
serviceAndSalesWorkers,4864,4684,5496,4538,4457,4649,4974,4744,5581,5185,4843,6495
skilledAgriculturalForestryAndFisheryWorkers,5399,4975,5505,4900,NaN,4950,5633,4962,5902,6150,NaN,6158
craftAndRelatedTradesWorkers,5880,4816,5957,5180,4656,5244,6093,5158,6136,6491,5091,6527
plantMachineOperatorsAndAssemblers,5560,4539,5712,4998,4191,5087,5596,4475,5776,5779,4788,5942
elementaryOccupations,4985,4336,5364,4496,3949,4679,5004,4315,5341,5252,4523,5776
