category,ageAllTotal,ageAllFemale,ageAllMale,age29minusTotal,age29minusFemale,age29minusMale,age30_49Total,age30_49Female,age30_49Male,age50plusTotal,age50plusFemale,age50plusMale
total,6585,6117,6880,5224,5043,5338,6952,6605,7192,7297,6499,7833
managers,9970,8252,10612,6212,6083,6320,9564,8448,10052,11111,8974,11553
professionals,8571,7767,9426,6450,6370,6590,8687,8044,9270,10024,8895,11180
techniciansAndAssociateProfessionals,7224,6452,7633,5500,5141,5821,7441,6950,7641,8204,7196,8720
clericalSupportWorkers,6120,6071,6225,5071,5081,5059,6302,6276,6381,6708,6599,6881
serviceAndSalesWorkers,4853,4720,5320,4488,4436,4638,4965,4773,5533,5158,4948,6190
skilledAgriculturalForestryAndFisheryWorkers,5213,4287,5472,4667,NaN,4874,5544,NaN,5776,6230,NaN,6333
craftAndRelatedTradesWorkers,5960,4952,6024,5178,4642,5230,6204,5251,6226,6618,5673,6637
plantMachineOperatorsAndAssemblers,5671,4770,5776,5072,4436,5148,5719,4951,5787,5920,4789,6038
elementaryOccupations,5060,4518,5427,4584,4126,4739,5013,4390,5438,5317,4698,5738
