category,ageAllTotal,ageAllFemale,ageAllMale,age29minusTotal,age29minusFemale,age29minusMale,age30_49Total,age30_49Female,age30_49Male,age50plusTotal,age50plusFemale,age50plusMale
total,6451,5890,6791,5073,4859,5199,6824,6388,7048,7168,6368,7675
managers,9480,8005,10050,6300,6154,6418,9218,8275,9573,11239,8960,11667
professionals,8456,7924,8878,6198,6231,6129,8505,8105,8790,9801,9238,10384
techniciansAndAssociateProfessionals,6906,6340,7271,5420,5261,5607,7093,6645,7302,7718,7115,8253
clericalSupportWorkers,5914,5906,5975,4832,4816,4872,6105,6046,6242,6385,6385,6392
serviceAndSalesWorkers,4798,4614,5454,4354,4312,4532,4951,4694,5536,5337,4936,6389
skilledAgriculturalForestryAndFisheryWorkers,4948,NaN,4902,4661,NaN,NaN,5200,NaN,5200,5599,NaN,NaN
craftAndRelatedTradesWorkers,5706,4593,5811,5016,4477,5078,5930,4652,5983,6406,4792,6499
plantMachineOperatorsAndAssemblers,5700,4681,5788,4937,4385,4979,5701,4570,5799,6023,4886,6086
elementaryOccupations,5026,4530,5403,4539,4221,4750,5003,4482,5354,5269,4748,5762
