category,ageAllTotal,ageAllFemale,ageAllMale,age29minusTotal,age29minusFemale,age29minusMale,age30_49Total,age30_49Female,age30_49Male,age50plusTotal,age50plusFemale,age50plusMale
total,6092,5520,6347,4927,4734,5063,6309,5867,6512,6787,6000,7233
managers,8873,7026,9408,5673,5113,6292,8561,7130,8881,10129,8024,10620
professionals,8020,7636,8330,6086,6131,6010,8146,7910,8306,9637,9338,9979
techniciansAndAssociateProfessionals,6800,6367,7204,5332,5171,5465,6991,6592,7274,7599,7028,8004
clericalSupportWorkers,5455,5503,5370,4565,4604,4423,5588,5673,5374,5980,5991,5880
serviceAndSalesWorkers,4801,4614,5467,4418,4384,4509,4887,4667,5467,5267,4849,6534
skilledAgriculturalForestryAndFisheryWorkers,5209,NaN,5209,4644,NaN,4672,5443,NaN,5627,5475,NaN,5532
craftAndRelatedTradesWorkers,5670,4518,5740,4930,4279,4991,5777,4492,5849,6250,4789,6348
plantMachineOperatorsAndAssemblers,5505,4406,5617,5021,4300,5083,5499,4338,5598,5778,4600,5883
elementaryOccupations,4975,4405,5413,4543,4096,4831,4978,4313,5421,5257,4598,5717
