category,ageAllTotal,ageAllFemale,ageAllMale,age29minusTotal,age29minusFemale,age29minusMale,age30_49Total,age30_49Female,age30_49Male,age50plusTotal,age50plusFemale,age50plusMale
total,6789,6395,7050,5261,5179,5307,7030,6825,7145,7564,6868,8061
managers,10661,9624,11135,6665,6163,7040,10357,9843,10569,11553,10497,11873
professionals,8692,8016,9459,6288,6213,6443,8744,8305,9179,10268,9385,11212
techniciansAndAssociateProfessionals,7252,6447,7817,5352,5105,5840,7414,6849,7772,8250,7302,8871
clericalSupportWorkers,6266,6250,6285,5133,5158,5097,6369,6339,6450,6769,6683,6890
serviceAndSalesWorkers,4950,4743,5554,4518,4435,4708,4961,4729,5599,5314,4987,6459
skilledAgriculturalForestryAndFisheryWorkers,5454,4913,5478,5010,NaN,5075,5675,NaN,5675,6227,NaN,6227
craftAndRelatedTradesWorkers,5983,5116,6055,5199,4665,5244,6073,5321,6117,6564,5136,6623
plantMachineOperatorsAndAssemblers,5632,4948,5706,5185,4854,5185,5607,4985,5657,5921,4948,6041
elementaryOccupations,5046,4543,5377,4568,4222,4760,4980,4526,5260,5368,4683,5839
