category,ageAllTotal,ageAllFemale,ageAllMale,age29minusTotal,age29minusFemale,age29minusMale,age30_49Total,age30_49Female,age30_49Male,age50plusTotal,age50plusFemale,age50plusMale
total,6600,6112,6923,5270,5157,5364,6825,6458,7054,7294,6499,7778
managers,9615,8207,10132,6320,6261,6380,9312,8373,9649,10741,8750,11294
professionals,8612,7920,9387,6499,6432,6587,8656,8137,9151,10157,9240,11046
techniciansAndAssociateProfessionals,7169,6316,7650,5419,5158,5850,7307,6691,7620,8087,7158,8575
clericalSupportWorkers,6105,6070,6165,5092,5131,5030,6251,6208,6347,6594,6510,6737
serviceAndSalesWorkers,5016,4799,5673,4518,4436,4682,5110,4849,5824,5380,5039,6544
skilledAgriculturalForestryAndFisheryWorkers,5247,4679,5391,4733,4518,4827,5425,4718,5570,6223,NaN,6437
craftAndRelatedTradesWorkers,5925,4988,6010,5231,4728,5279,6024,5094,6110,6479,5165,6576
plantMachineOperatorsAndAssemblers,5757,4946,5972,5103,4782,5265,5689,4978,5894,6107,5005,6323
elementaryOccupations,5145,4527,5502,4653,4239,4877,5113,4469,5468,5417,4756,5838
