category,ageAllTotal,ageAllFemale,ageAllMale,age29minusTotal,age29minusFemale,age29minusMale,age30_49Total,age30_49Female,age30_49Male,age50plusTotal,age50plusFemale,age50plusMale
total,7113,6435,7659,5382,5222,5553,7498,6886,7961,8013,6988,9006
managers,10360,8979,11109,6431,6319,6507,10005,8888,10616,11563,10000,12239
professionals,9149,8438,9819,6784,6808,6756,9361,8733,9803,10921,9727,11564
techniciansAndAssociateProfessionals,7535,6740,8181,5587,5360,5972,7798,7197,8220,8623,7590,9320
clericalSupportWorkers,6260,6236,6292,5224,5235,5213,6446,6430,6474,6910,6811,7106
serviceAndSalesWorkers,4979,4840,5414,4586,4540,4694,5073,4906,5525,5386,5106,6369
skilledAgriculturalForestryAndFisheryWorkers,5324,4775,5411,4803,NaN,4900,5544,5260,5601,6061,6061,6171
craftAndRelatedTradesWorkers,6208,5079,6295,5326,4710,5390,6396,5376,6451,6844,5485,6910
plantMachineOperatorsAndAssemblers,5803,5099,5911,5032,4642,5094,5777,5085,5888,6118,5307,6299
elementaryOccupations,4745,4243,5300,4587,4193,4804,4693,4181,5344,4944,4348,5669
