category,ageAllTotal,ageAllFemale,ageAllMale,age29minusTotal,age29minusFemale,age29minusMale,age30_49Total,age30_49Female,age30_49Male,age50plusTotal,age50plusFemale,age50plusMale
total,6118,5549,6397,5048,4854,5168,6327,5838,6548,6801,6029,7226
managers,8768,6945,9438,5894,5246,6373,8604,7203,9114,9850,7970,10460
professionals,8104,7694,8520,6291,6445,5986,8269,7964,8533,9906,9181,10430
techniciansAndAssociateProfessionals,6643,6204,7042,5317,5192,5469,6831,6433,7102,7414,6807,7911
clericalSupportWorkers,5633,5604,5742,4755,4782,4746,5701,5701,5708,6274,6139,6472
serviceAndSalesWorkers,4835,4651,5412,4439,4436,4470,4962,4692,5547,5242,4842,6503
skilledAgriculturalForestryAndFisheryWorkers,5263,4548,5365,4822,NaN,4839,5604,NaN,5624,5674,NaN,5854
craftAndRelatedTradesWorkers,5690,4516,5796,5120,4313,5237,5778,4745,5852,6334,4775,6392
plantMachineOperatorsAndAssemblers,5383,4428,5580,4705,4018,4847,5390,4411,5590,5726,4650,5839
elementaryOccupations,5177,4524,5547,4767,4282,4994,5200,4392,5576,5404,4781,5885
