category,ageAllTotal,ageAllFemale,ageAllMale,age29minusTotal,age29minusFemale,age29minusMale,age30_49Total,age30_49Female,age30_49Male,age50plusTotal,age50plusFemale,age50plusMale
total,6511,5994,6864,5200,5055,5311,6750,6334,7014,7260,6396,7798
managers,9450,8095,9931,6319,6185,6431,9121,8208,9447,10605,8812,11001
professionals,8586,8070,9040,6371,6430,6296,8593,8262,8855,10110,9553,10811
techniciansAndAssociateProfessionals,6837,6321,7324,5429,5254,5666,7007,6607,7370,7624,7089,8162
clericalSupportWorkers,5814,5768,5861,4900,4954,4850,5838,5845,5835,6065,6070,6062
serviceAndSalesWorkers,5030,4802,5762,4590,4535,4676,5196,4850,5990,5401,5048,6698
skilledAgriculturalForestryAndFisheryWorkers,5156,4617,5250,4798,4547,4849,5558,4813,5653,6055,NaN,6226
craftAndRelatedTradesWorkers,5804,4863,5922,5159,4623,5209,5898,4976,5996,6366,5000,6553
plantMachineOperatorsAndAssemblers,5726,4713,5927,4945,4507,5082,5660,4770,5813,6195,4796,6383
elementaryOccupations,5291,4642,5638,4763,4490,4926,5312,4551,5666,5534,4857,5944
