category,ageAllTotal,ageAllFemale,ageAllMale,age29minusTotal,age29minusFemale,age29minusMale,age30_49Total,age30_49Female,age30_49Male,age50plusTotal,age50plusFemale,age50plusMale
total,6700,6220,7034,5163,5022,5262,6938,6593,7167,7529,6750,8112
managers,9787,8645,10235,6342,6029,6499,9524,8710,9776,10981,9772,11367
professionals,8460,7957,8871,6286,6302,6235,8381,8046,8671,10364,9879,10864
techniciansAndAssociateProfessionals,7043,6602,7484,5475,5391,5602,7141,6778,7437,7800,7221,8370
clericalSupportWorkers,5940,6062,5740,4797,4885,4706,5983,6116,5795,6527,6584,6411
serviceAndSalesWorkers,4995,4787,5673,4507,4438,4652,5136,4815,5823,5406,5044,6855
skilledAgriculturalForestryAndFisheryWorkers,5476,NaN,5467,4640,NaN,NaN,5707,NaN,5 707 ,6398,NaN,6499
craftAndRelatedTradesWorkers,5790,4727,5857,5156,4456,5179,5886,4849,5912,6316,4951,6390
plantMachineOperatorsAndAssemblers,5673,4823,5771,4893,4591,4938,5632,4813,5742,6110,4937,6184
elementaryOccupations,5056,4536,5444,4730,4390,4879,5033,4477,5425,5305,4710,5869
