category,ageAllTotal,ageAllFemale,ageAllMale,age29minusTotal,age29minusFemale,age29minusMale,age30_49Total,age30_49Female,age30_49Male,age50plusTotal,age50plusFemale,age50plusMale
total,5363,4836,5617,4344,4233,4514,5417,4958,5607,5917,5198,6250
managers,7907,6604,8436,5287,4830,5308,7429,6348,8104,8968,7649,9613
professionals,7100,6902,7249,5328,5566,5147,7177,7119,7214,8560,8254,9081
techniciansAndAssociateProfessionals,6016,5677,6283,4818,4813,4921,6127,5857,6301,6758,6394,6988
clericalSupportWorkers,4792,4815,4763,4178,4297,4178,4738,4742,4734,5333,5344,5333
serviceAndSalesWorkers,4429,4333,4567,4064,4021,4163,4450,4398,4532,4815,4643,5132
skilledAgriculturalForestryAndFisheryWorkers,4783,NaN,4851,4366,NaN,4496,4734,NaN,4760,5891,NaN,5891
craftAndRelatedTradesWorkers,5296,3206,5438,4476,3210,4678,5236,3237,5427,5560,3119,5691
plantMachineOperatorsAndAssemblers,4331,3460,4933,3743,3489,4189,4208,3414,4863,4879,3481,5348
elementaryOccupations,4222,3727,4583,3839,3450,4005,4173,3662,4546,4462,3960,5101
