category,ageAllTotal,ageAllFemale,ageAllMale,age29minusTotal,age29minusFemale,age29minusMale,age30_49Total,age30_49Female,age30_49Male,age50plusTotal,age50plusFemale,age50plusMale
total,6426,5907,6785,5121,4976,5213,6692,6210,6966,7142,6282,7674
managers,9442,8080,9910,6240,6088,6344,9094,8131,9427,10594,9054,11102
professionals,8397,7968,8795,6188,6214,6178,8423,8066,8729,9932,9514,10386
techniciansAndAssociateProfessionals,6822,6340,7268,5392,5262,5567,6943,6552,7279,7633,7088,8126
clericalSupportWorkers,5839,5792,5875,4878,4881,4868,5844,5860,5834,6077,6188,6020
serviceAndSalesWorkers,4913,4681,5656,4435,4360,4641,5042,4733,5810,5277,4926,6696
skilledAgriculturalForestryAndFisheryWorkers,5088,4610,5200,4678,NaN,4738,5663,NaN,5724,6 567,NaN,6667
craftAndRelatedTradesWorkers,5713,4771,5829,5036,4539,5090,5848,4817,5954,6302,4904,6427
plantMachineOperatorsAndAssemblers,5661,4803,5821,4857,4537,4958,5634,4795,5797,6089,4999,6261
elementaryOccupations,5223,4807,5486,4803,4573,4896,5184,4683,5456,5535,5051,5829
