category,ageAllTotal,ageAllFemale,ageAllMale,age29minusTotal,age29minusFemale,age29minusMale,age30_49Total,age30_49Female,age30_49Male,age50plusTotal,age50plusFemale,age50plusMale
total,6869,6191,7406,5224,5073,5378,7275,6656,7753,7728,6762,8575
managers,9834,8282,10618,6384,5714,6843,9765,8607,10394,11300,9206,11916
professionals,8736,8182,9243,6626,6606,6655,8895,8370,9319,10567,9966,10862
techniciansAndAssociateProfessionals,7048,6635,7486,5487,5378,5607,7257,6887,7582,7833,7338,8467
clericalSupportWorkers,6033,6184,5823,4946,5045,4790,6086,6263,5843,6600,6680,6458
serviceAndSalesWorkers,4893,4708,5489,4475,4408,4608,5034,4786,5681,5332,4940,6678
skilledAgriculturalForestryAndFisheryWorkers,5088,NaN,5147,4806,NaN,4806,5468,NaN,5624,5858,NaN,5858
craftAndRelatedTradesWorkers,6006,5193,6077,5060,4674,5091,6162,5261,6198,6666,5610,6722
plantMachineOperatorsAndAssemblers,5750,4908,5900,5030,4601,5089,5708,4817,5841,6187,5185,6276
elementaryOccupations,4758,4171,5329,4570,4127,4798,4696,4107,5338,5024,4356,5777
