category,ageAllTotal,ageAllFemale,ageAllMale,age29minusTotal,age29minusFemale,age29minusMale,age30_49Total,age30_49Female,age30_49Male,age50plusTotal,age50plusFemale,age50plusMale
total,6731,6544,6866,5300,5240,5345,6991,6924,7038,7595,7169,7934
managers,10220,9168,10930,5831,5667,6129,9919,9362,10363,11927,10529,12482
professionals,8556,8170,9085,6298,6343,6182,8615,8322,8993,10403,9628,11397
techniciansAndAssociateProfessionals,7168,6672,7582,5489,5264,5811,7277,6936,7544,8110,7484,8597
clericalSupportWorkers,6117,6190,5980,5029,5062,4990,6233,6283,6116,6954,6917,7096
serviceAndSalesWorkers,4915,4745,5149,4508,4423,4639,4971,4750,5279,5267,5021,5812
skilledAgriculturalForestryAndFisheryWorkers,5678,5704,5670,5199,NaN,5199,5749,5947,5734,6451,NaN,6451
craftAndRelatedTradesWorkers,5923,5167,5965,5328,4829,5362,5984,5177,6022,6402,5688,6426
plantMachineOperatorsAndAssemblers,5754,5108,5880,5083,4675,5144,5772,5061,5893,6043,5323,6196
elementaryOccupations,4905,4178,5312,4710,4064,4917,4873,4142,5287,5131,4326,5815
