category,ageAllTotal,ageAllFemale,ageAllMale,age29minusTotal,age29minusFemale,age29minusMale,age30_49Total,age30_49Female,age30_49Male,age50plusTotal,age50plusFemale,age50plusMale
total,6438,5905,6781,5159,5000,5293,6808,6376,7040,7120,6373,7626
managers,9426,8183,9898,6071,5919,6184,9214,8328,9538,10549,9248,11016
professionals,8256,7621,8921,6190,6374,6058,8459,7949,9006,9721,9128,10458
techniciansAndAssociateProfessionals,6848,6373,7297,5450,5297,5703,7059,6622,7367,7584,7040,8063
clericalSupportWorkers,5824,5784,5881,4847,4893,4746,6059,6065,6059,6334,6313,6367
serviceAndSalesWorkers,4894,4742,5381,4499,4484,4571,5043,4844,5527,5275,4989,6413
skilledAgriculturalForestryAndFisheryWorkers,5191,NaN,5262,4787,NaN,4792,5712,NaN,5812,5829,NaN,5881
craftAndRelatedTradesWorkers,5787,4912,5844,5133,4546,5200,6027,5213,6059,6382,5731,6442
plantMachineOperatorsAndAssemblers,5605,4694,5684,5066,4493,5141,5684,4634,5784,5734,4823,5821
elementaryOccupations,5157,4500,5523,4745,4333,4924,5199,4437,5565,5332,4685,5911
