category,ageAllTotal,ageAllFemale,ageAllMale,age29minusTotal,age29minusFemale,age29minusMale,age30_49Total,age30_49Female,age30_49Male,age50plusTotal,age50plusFemale,age50plusMale
total,6714,6251,7038,5124,5055,5179,6981,6640,7176,7529,6785,8060
managers,9573,8263,10034,6293,5896,6717,9381,8548,9673,10714,8801,11208
professionals,8539,8102,8904,6321,6476,6109,8475,8230,8699,10268,9903,10707
techniciansAndAssociateProfessionals,7058,6469,7531,5397,5286,5524,7172,6656,7520,7791,7170,8464
clericalSupportWorkers,5887,5956,5819,4878,4967,4807,5976,6128,5830,6355,6275,6456
serviceAndSalesWorkers,4880,4757,5288,4468,4440,4532,4940,4841,5174,5396,5004,6550
skilledAgriculturalForestryAndFisheryWorkers,5403,5172,5423,4798,NaN,4821,5665,NaN,5710,6463,NaN,6463
craftAndRelatedTradesWorkers,5958,4702,6050,5089,4437,5134,6055,4698,6137,6532,4853,6551
plantMachineOperatorsAndAssemblers,5423,4970,5478,4804,4803,4804,5334,4981,5389,5850,4894,5880
elementaryOccupations,5221,4606,5571,4860,4578,4947,5197,4542,5555,5547,4713,6020
