category,ageAllTotal,ageAllFemale,ageAllMale,age29minusTotal,age29minusFemale,age29minusMale,age30_49Total,age30_49Female,age30_49Male,age50plusTotal,age50plusFemale,age50plusMale
total,5563,5119,5810,4388,4290,4444,5610,5283,5800,6161,5458,6500
managers,8460,7214,9549,5402,NaN,NaN,8054,6880,8925,10000,8080,11171
professionals,7596,7292,7790,5437,5744,5252,7412,7292,7509,9358,8523,9831
techniciansAndAssociateProfessionals,6206,5984,6466,5275,5414,5163,6249,6086,6420,7040,6726,7272
clericalSupportWorkers,5119,5193,4856,3861,4007,3670,5022,5119,4792,5968,5877,6104
serviceAndSalesWorkers,4539,4389,4642,4133,4090,4230,4551,4390,4642,4781,4652,5120
skilledAgriculturalForestryAndFisheryWorkers,4766,NaN,4791,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
craftAndRelatedTradesWorkers,5331,3249,5424,4499,3249,4718,5307,3249,5414,5667,NaN,5700
plantMachineOperatorsAndAssemblers,4560,3520,5158,3614,3450,4191,4336,3518,5149,5363,3729,5710
elementaryOccupations,4296,3813,4669,3670,3464,3688,4367,3848,4742,4468,3906,5033
